domain,DNSFilter IP,Umbrella IP,UmbrellaFamily IP,Cloudflare IP,CloudflareGateway IP,CloudflareFamilies IP,Google IP,Quad9 IP,NextDNS IP,Adguard IP
024fpv.com,103.247.11.150,146.112.61.107,146.112.61.107,103.247.11.150,103.247.11.150,103.247.11.150,103.247.11.150,null,45.32.219.28,94.140.14.33
0rdp.com,104.21.14.134,146.112.61.107,146.112.61.107,104.21.14.134,0.0.0.0,0.0.0.0,172.67.159.46,null,45.32.219.28,94.140.14.33
100klv.com,45.54.28.15,146.112.61.107,146.112.61.107,154.55.210.172,154.55.210.172,154.55.210.172,154.55.210.172,null,45.32.219.28,94.140.14.33
106b.com,45.54.28.15,146.112.61.107,146.112.61.107,47.114.191.15,47.114.191.15,47.114.191.15,47.114.191.15,null,45.32.219.28,94.140.14.33
10sells.com,13.248.169.48,146.112.61.107,146.112.61.107,76.223.54.146,76.223.54.146,76.223.54.146,76.223.54.146,null,45.32.219.28,94.140.14.33
10xtask.com,23.236.62.147,146.112.61.107,146.112.61.107,23.236.62.147,23.236.62.147,23.236.62.147,23.236.62.147,null,45.32.219.28,94.140.14.33
11wealth.com,117.53.155.158,146.112.61.107,146.112.61.107,117.53.155.158,117.53.155.158,117.53.155.158,117.53.155.158,null,45.32.219.28,94.140.14.33
1greatrealestatesales.com,15.197.148.33,146.112.61.107,146.112.61.107,15.197.148.33,15.197.148.33,15.197.148.33,15.197.148.33,null,45.32.219.28,94.140.14.33
1mfromthefuture.com,192.0.78.24,146.112.61.107,146.112.61.107,192.0.78.25,192.0.78.25,192.0.78.24,192.0.78.24,null,45.32.219.28,94.140.14.33
1negah.net,127.0.0.1,146.112.61.107,146.112.61.107,127.0.0.1,127.0.0.1,127.0.0.1,127.0.0.1,null,45.32.219.28,94.140.14.33
1nsr.com,76.223.54.146,146.112.61.107,146.112.61.107,13.248.169.48,13.248.169.48,76.223.54.146,76.223.54.146,null,45.32.219.28,94.140.14.33
24linux.com,154.213.232.79,146.112.61.107,146.112.61.107,154.213.232.79,0.0.0.0,0.0.0.0,154.213.232.79,null,45.32.219.28,94.140.14.33
24masr.com,198.54.116.219,146.112.61.107,146.112.61.107,198.54.116.219,198.54.116.219,198.54.116.219,198.54.116.219,null,45.32.219.28,94.140.14.33
28kdigital.com,46.227.65.84,146.112.61.107,146.112.61.107,46.227.65.84,46.227.65.84,46.227.65.84,46.227.65.84,null,45.32.219.28,94.140.14.33
2itchyfeets.com,103.53.42.63,146.112.61.107,146.112.61.107,103.53.42.63,103.53.42.63,103.53.42.63,103.53.42.63,null,45.32.219.28,94.140.14.33
2nell.com,45.54.28.15,146.112.61.107,146.112.61.107,178.128.137.126,0.0.0.0,0.0.0.0,178.128.137.126,null,45.32.219.28,94.140.14.33
3drendering.net,45.54.28.15,146.112.61.107,146.112.61.107,172.96.191.110,172.96.191.110,172.96.191.110,172.96.191.110,null,45.32.219.28,94.140.14.33
3idiotscommunication.com,62.72.28.109,146.112.61.107,146.112.61.107,62.72.28.109,62.72.28.109,62.72.28.109,62.72.28.109,null,45.32.219.28,94.140.14.33
45cqv.com,183.90.183.157,146.112.61.107,146.112.61.107,183.90.183.157,183.90.183.157,183.90.183.157,183.90.183.157,null,45.32.219.28,94.140.14.33
4gstartup.com,216.245.197.44,146.112.61.107,146.112.61.107,216.245.197.44,216.245.197.44,216.245.197.44,216.245.197.44,null,45.32.219.28,94.140.14.33
4kmj.com,107.158.59.98,146.112.61.107,146.112.61.107,107.158.59.98,107.158.59.98,107.158.59.98,107.158.59.98,null,45.32.219.28,94.140.14.33
4up4.com,91.244.247.200,146.112.61.107,146.112.61.107,91.244.247.200,91.244.247.200,91.244.247.200,91.244.247.200,null,45.32.219.28,94.140.14.33
51-iblog.com,45.54.28.15,146.112.61.107,146.112.61.107,119.28.55.148,119.28.55.148,119.28.55.148,119.28.55.148,null,45.32.219.28,94.140.14.33
52giraffe.com,45.54.28.15,146.112.61.107,146.112.61.107,47.98.45.50,47.98.45.50,47.98.45.50,47.98.45.50,null,45.32.219.28,94.140.14.33
5techexplore.com,88.198.60.122,146.112.61.107,146.112.61.107,88.198.60.122,88.198.60.122,88.198.60.122,88.198.60.122,null,45.32.219.28,94.140.14.33
66586658.com,154.211.76.26,146.112.61.107,146.112.61.107,154.211.76.26,154.211.76.26,154.211.76.26,154.211.76.26,null,45.32.219.28,94.140.14.33
69po.com,null,146.112.61.107,146.112.61.107,null,null,null,null,null,45.32.219.28,94.140.14.33
7-medya.com,167.114.158.228,146.112.61.107,146.112.61.107,167.114.158.228,167.114.158.228,167.114.158.228,167.114.158.228,null,45.32.219.28,94.140.14.33
72clothing.com,15.197.148.33,146.112.61.107,146.112.61.107,15.197.148.33,0.0.0.0,0.0.0.0,15.197.148.33,null,45.32.219.28,94.140.14.33
8004print.com,50.23.10.255,146.112.61.107,146.112.61.107,50.23.10.255,0.0.0.0,0.0.0.0,50.23.10.255,null,45.32.219.28,94.140.14.33
84ers.com,35.220.194.15,146.112.61.107,146.112.61.107,35.220.194.15,35.220.194.15,35.220.194.15,35.220.194.15,null,45.32.219.28,94.140.14.33
85szv.com,38.163.210.109,146.112.61.107,146.112.61.107,38.163.210.109,38.163.210.109,38.163.210.109,38.163.210.109,null,45.32.219.28,94.140.14.33
860259.com,164.88.86.101,146.112.61.107,146.112.61.107,164.88.86.101,164.88.86.101,164.88.86.101,164.88.86.101,null,45.32.219.28,94.140.14.33
866appliance.com,15.197.162.184,146.112.61.107,146.112.61.107,15.197.162.184,15.197.162.184,15.197.162.184,15.197.162.184,null,45.32.219.28,94.140.14.33
8m8cm.com,136.0.66.136,146.112.61.107,146.112.61.107,136.0.66.136,136.0.66.136,136.0.66.136,136.0.66.136,null,45.32.219.28,94.140.14.33
91damimi.com,23.224.27.77,146.112.61.107,146.112.61.107,23.224.27.77,23.224.27.77,23.224.27.77,23.224.27.77,null,45.32.219.28,94.140.14.33
92jobz.com,45.54.28.15,146.112.61.107,146.112.61.107,15.197.148.33,15.197.148.33,3.33.130.190,15.197.148.33,15.197.148.33,45.32.219.28,94.140.14.33
989coworking.com,185.230.63.186,146.112.61.107,146.112.61.107,185.230.63.186,185.230.63.171,185.230.63.171,185.230.63.171,null,45.32.219.28,94.140.14.33
9adhity.com,54.36.31.145,146.112.61.107,146.112.61.107,54.36.31.145,54.36.31.145,54.36.31.145,54.36.31.145,null,45.32.219.28,94.140.14.33
9jabliss.com,206.238.190.50,146.112.61.107,146.112.61.107,206.238.190.50,206.238.190.50,206.238.190.50,206.238.190.50,null,45.32.219.28,94.140.14.33
a-freelancer.com,45.54.28.15,146.112.61.107,146.112.61.107,198.12.251.99,198.12.251.99,198.12.251.99,198.12.251.99,null,45.32.219.28,94.140.14.33
aagzz.com,47.96.121.10,146.112.61.107,146.112.61.107,47.96.121.10,47.96.121.10,47.96.121.10,47.96.121.10,null,45.32.219.28,94.140.14.33
aaitrader.com,23.82.12.31,146.112.61.107,146.112.61.107,23.82.12.31,0.0.0.0,0.0.0.0,212.32.237.90,null,45.32.219.28,94.140.14.33
aaktrade.com,3.64.163.50,146.112.61.107,146.112.61.107,3.64.163.50,3.64.163.50,3.64.163.50,3.64.163.50,null,45.32.219.28,94.140.14.33
aamantrankurti.com,23.227.38.65,146.112.61.107,146.112.61.107,23.227.38.65,23.227.38.65,23.227.38.65,23.227.38.65,null,45.32.219.28,94.140.14.33
aaryagold.com,45.54.28.15,146.112.61.107,146.112.61.107,65.108.244.47,65.108.244.47,65.108.244.47,65.108.244.47,null,45.32.219.28,94.140.14.33
abantesabogados.com,51.254.90.72,146.112.61.107,146.112.61.107,51.254.90.72,51.254.90.72,51.254.90.72,51.254.90.72,null,45.32.219.28,94.140.14.33
abaoxianshu.com,47.104.238.140,146.112.61.107,146.112.61.107,47.104.238.140,47.104.238.140,47.104.238.140,47.104.238.140,null,45.32.219.28,94.140.14.33
abcmobile.net,199.191.50.83,146.112.61.107,146.112.61.107,199.191.50.83,199.191.50.83,199.191.50.83,199.191.50.83,null,45.32.219.28,94.140.14.33
abderfiene.com,216.245.214.85,146.112.61.107,146.112.61.107,216.245.214.85,0.0.0.0,0.0.0.0,216.245.214.85,null,45.32.219.28,94.140.14.33
abkascomarine.com,23.82.12.29,146.112.61.107,146.112.61.107,23.82.12.29,0.0.0.0,0.0.0.0,23.82.12.29,null,45.32.219.28,94.140.14.33
abrashipping.com,3.33.152.147,146.112.61.107,146.112.61.107,15.197.142.173,3.33.152.147,3.33.152.147,3.33.152.147,null,45.32.219.28,94.140.14.33
abrirmeiportaldoempreendedor.com,null,146.112.61.107,146.112.61.107,null,null,null,null,null,45.32.219.28,94.140.14.33
absolutelyclean.net,162.241.218.52,146.112.61.107,146.112.61.107,162.241.218.52,162.241.218.52,162.241.218.52,162.241.218.52,null,45.32.219.28,94.140.14.33
academiaprogreso.com,62.72.17.131,146.112.61.107,146.112.61.107,62.72.17.131,62.72.17.131,62.72.17.131,62.72.17.131,null,45.32.219.28,94.140.14.33
acaicode.com,45.54.28.15,146.112.61.107,146.112.61.107,82.223.103.170,82.223.103.170,82.223.103.170,82.223.103.170,null,45.32.219.28,94.140.14.33
accountingtoindia.com,160.153.0.186,146.112.61.107,146.112.61.107,160.153.0.186,160.153.0.186,160.153.0.186,160.153.0.186,null,45.32.219.28,94.140.14.33
accurateastrologys.com,45.54.28.15,146.112.61.107,146.112.61.107,103.224.212.213,103.224.212.213,103.224.212.213,103.224.212.213,null,45.32.219.28,94.140.14.33
acilevarkadasi.com,45.54.28.15,146.112.61.107,146.112.61.107,213.238.176.51,213.238.176.51,213.238.176.51,213.238.176.51,213.238.176.51,45.32.219.28,94.140.14.33
aciparis.com,45.54.28.15,146.112.61.107,146.112.61.107,160.153.0.161,160.153.0.161,160.153.0.161,160.153.0.161,null,45.32.219.28,94.140.14.33
acquavivahotel.com,69.162.80.58,146.112.61.107,146.112.61.107,69.162.80.58,69.162.80.58,69.162.80.58,69.162.80.58,null,45.32.219.28,94.140.14.33
acsboda.com,172.67.147.234,146.112.61.107,146.112.61.107,104.21.28.244,104.21.28.244,172.67.147.234,172.67.147.234,null,45.32.219.28,94.140.14.33
ad-nalitica.com,107.178.223.183,146.112.61.107,146.112.61.107,107.178.223.183,104.155.138.21,107.178.223.183,104.155.138.21,null,45.32.219.28,null
ad4teg.com,45.54.28.15,146.112.61.107,146.112.61.107,162.0.215.214,162.0.215.214,162.0.215.214,162.0.215.214,null,45.32.219.28,94.140.14.33
adahomemodifications.com,3.33.130.190,146.112.61.107,146.112.61.107,15.197.148.33,0.0.0.0,0.0.0.0,15.197.148.33,null,45.32.219.28,94.140.14.33
adalimmigrations.com,217.21.84.166,146.112.61.107,146.112.61.107,217.21.84.166,217.21.84.166,217.21.84.166,217.21.84.166,null,45.32.219.28,94.140.14.33
adampettycreative.com,45.54.28.15,146.112.61.107,146.112.61.107,154.95.198.44,154.95.198.44,154.95.198.44,154.95.198.44,null,45.32.219.28,94.140.14.33
adamwilt15.com,68.178.205.12,146.112.61.107,146.112.61.107,68.178.205.12,68.178.205.12,68.178.205.12,68.178.205.12,null,45.32.219.28,94.140.14.33
adanzyeyapi.com,78.142.210.123,146.112.61.107,146.112.61.107,78.142.210.123,78.142.210.123,78.142.210.123,78.142.210.123,null,45.32.219.28,94.140.14.33
adbord.com,3.64.163.50,146.112.61.107,146.112.61.107,3.64.163.50,3.64.163.50,3.64.163.50,3.64.163.50,null,45.32.219.28,94.140.14.33
adelantosi.com,45.54.28.15,146.112.61.107,146.112.61.107,216.245.197.45,0.0.0.0,0.0.0.0,216.245.197.45,null,45.32.219.28,94.140.14.33
adigitalteam.com,45.54.28.15,35.209.123.121,35.209.123.121,35.209.123.121,35.209.123.121,35.209.123.121,35.209.123.121,null,45.32.219.28,94.140.14.33
adimoni.com,77.247.183.150,146.112.61.107,146.112.61.107,216.245.214.84,216.245.214.84,216.245.214.84,77.247.183.150,null,45.32.219.28,94.140.14.33
admolex.com,172.67.200.25,146.112.61.107,146.112.61.107,172.67.200.25,104.21.21.202,104.21.21.202,104.21.21.202,null,45.32.219.28,94.140.14.33
adrienneaubrecht.net,162.241.253.180,146.112.61.107,146.112.61.107,162.241.253.180,162.241.253.180,162.241.253.180,162.241.253.180,null,45.32.219.28,94.140.14.33
adspioneer.com,77.247.179.83,146.112.61.107,146.112.61.107,216.245.197.43,216.245.197.43,216.245.197.43,77.247.179.83,null,45.32.219.28,94.140.14.33
adventuretravelfair.com,null,146.112.61.107,146.112.61.107,null,0.0.0.0,0.0.0.0,null,null,45.32.219.28,94.140.14.33
adwaaalkhalej.com,45.54.28.15,146.112.61.107,146.112.61.107,103.224.212.213,103.224.212.213,103.224.212.213,103.224.212.213,null,45.32.219.28,94.140.14.33
aedictiect.com,212.32.237.91,146.112.61.107,146.112.61.107,212.32.237.91,0.0.0.0,0.0.0.0,23.82.12.32,null,45.32.219.28,94.140.14.33
