domain,DNSFilter,Umbrella,UmbrellaFamily,Cloudflare,CloudflareGateway,CloudflareFamilies,Google,Quad9,NextDNS,Adguard
024fpv.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
0rdp.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
100klv.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
106b.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
10sells.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
10xtask.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
11wealth.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
1greatrealestatesales.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
1mfromthefuture.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
1negah.net,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
1nsr.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
24linux.com,allowed,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
24masr.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
28kdigital.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
2itchyfeets.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
2nell.com,blocked,blocked,blocked,allowed,blocked,blocked,allowed,blocked,blocked,blocked
3drendering.net,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
3idiotscommunication.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
45cqv.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
4gstartup.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
4kmj.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
4up4.com,allowed,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
51-iblog.com,blocked,blocked,blocked,allowed,allowed,allowed,allowed,blocked,blocked,blocked
