domain,DNSFilter IP,DNSFilter,Umbrella IP,Umbrella,UmbrellaFamily IP,UmbrellaFamily,Cloudflare IP,Cloudflare,CloudflareGateway IP,CloudflareGateway,CloudflareFamilies IP,CloudflareFamilies,Google IP,Google,Quad9 IP,Quad9,NextDNS IP,NextDNS,Adguard IP,Adguard
024fpv.com,103.247.11.150,allowed,146.112.61.107,blocked,146.112.61.107,blocked,103.247.11.150,allowed,103.247.11.150,allowed,103.247.11.150,allowed,103.247.11.150,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
0rdp.com,104.21.14.134,allowed,146.112.61.107,blocked,146.112.61.107,blocked,104.21.14.134,allowed,0.0.0.0,blocked,0.0.0.0,blocked,172.67.159.46,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
100klv.com,45.54.28.15,blocked,146.112.61.107,blocked,146.112.61.107,blocked,154.55.210.172,allowed,154.55.210.172,allowed,154.55.210.172,allowed,154.55.210.172,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
106b.com,45.54.28.15,blocked,146.112.61.107,blocked,146.112.61.107,blocked,47.114.191.15,allowed,47.114.191.15,allowed,47.114.191.15,allowed,47.114.191.15,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
10sells.com,13.248.169.48,allowed,146.112.61.107,blocked,146.112.61.107,blocked,76.223.54.146,allowed,76.223.54.146,allowed,76.223.54.146,allowed,76.223.54.146,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
10xtask.com,23.236.62.147,allowed,146.112.61.107,blocked,146.112.61.107,blocked,23.236.62.147,allowed,23.236.62.147,allowed,23.236.62.147,allowed,23.236.62.147,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
11wealth.com,117.53.155.158,allowed,146.112.61.107,blocked,146.112.61.107,blocked,117.53.155.158,allowed,117.53.155.158,allowed,117.53.155.158,allowed,117.53.155.158,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
1greatrealestatesales.com,15.197.148.33,allowed,146.112.61.107,blocked,146.112.61.107,blocked,15.197.148.33,allowed,15.197.148.33,allowed,15.197.148.33,allowed,15.197.148.33,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
1mfromthefuture.com,192.0.78.24,allowed,146.112.61.107,blocked,146.112.61.107,blocked,192.0.78.25,allowed,192.0.78.25,allowed,192.0.78.24,allowed,192.0.78.24,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
1negah.net,127.0.0.1,blocked,146.112.61.107,blocked,146.112.61.107,blocked,127.0.0.1,blocked,127.0.0.1,blocked,127.0.0.1,blocked,127.0.0.1,blocked,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
1nsr.com,76.223.54.146,allowed,146.112.61.107,blocked,146.112.61.107,blocked,13.248.169.48,allowed,13.248.169.48,allowed,76.223.54.146,allowed,76.223.54.146,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
24linux.com,154.213.232.79,allowed,146.112.61.107,blocked,146.112.61.107,blocked,154.213.232.79,allowed,0.0.0.0,blocked,0.0.0.0,blocked,154.213.232.79,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
24masr.com,198.54.116.219,allowed,146.112.61.107,blocked,146.112.61.107,blocked,198.54.116.219,allowed,198.54.116.219,allowed,198.54.116.219,allowed,198.54.116.219,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
28kdigital.com,46.227.65.84,allowed,146.112.61.107,blocked,146.112.61.107,blocked,46.227.65.84,allowed,46.227.65.84,allowed,46.227.65.84,allowed,46.227.65.84,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
2itchyfeets.com,103.53.42.63,allowed,146.112.61.107,blocked,146.112.61.107,blocked,103.53.42.63,allowed,103.53.42.63,allowed,103.53.42.63,allowed,103.53.42.63,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
2nell.com,45.54.28.15,blocked,146.112.61.107,blocked,146.112.61.107,blocked,178.128.137.126,allowed,0.0.0.0,blocked,0.0.0.0,blocked,178.128.137.126,allowed,null,blocked,45.32.219.28,blocked,94.140.14.33,blocked
